tp_pt,pt_br
ynysem,cheio
puku,comprido
pyatã,corajoso
panem,covarde
manema,covarde
mbegué,devagar
abaíb,difícil
tupã,divino
eẽ,doce
maraar,doente
atã,duro
atangatu,duro
memuã,errado
poxy,estragado
puku,extenso
ambyasy,faminto
serapuan,famoso
abaibeym,fácil
aub,falso
memuã,falso
ran,falso
porangeym,feio
oryb,feliz
nharõ,feroz
aysó,formoso
atã,forte
membek,fraco
roy,frio
é,gostoso
ékatu,gostoso
eburusu,grande
turusu,grande
abaeté,honrado
tekokuabeym,ignorante
panem,imprestável
nhemoryryi,interessado
tekokuab,inteligente
akangatu,inteligente
eté,legítimo
bebúi,leve
apuan,ligeiro
angaingaíba,louco
akangaíb,louco
pub,macio
angaibar,magro
aib,mal
angaipab,mau
memuã,mau
sykyié,medroso
membek,fraco
pub,macio
akym,molhado
ekotebẽ,necessitado
katu,normal
pysasu,novo
abyareym,parecido
posýi,pesado
mbaeeym,pobre
peb,plano
ynysem,pleno
nhemoryryi,preocupado
akub,quente
nharõ,raivoso
apuan,rápido
pokang,raro
pysasu,recente
nheran,resistente
popyatã,resistente
mbaeetá,rico
aib,ruim
memuã,ruim
karaíb,sagrado
eẽiukyr,salgado
tining,seco
opesýi,sonolento
kya,sujo
aruru,triste
poreym,vazio
kyreym,valente
puer,velho
supinduara,verdadeiro
mbaeeté,verdadeiro
ereikokatu,parabéns
eikobé,olá
tiándekoema,bom_dia
tiándekaruka,boa_tarde
tiándepytuna,boa_noite
nderuraikatu,seja_bem_vindo_!
ereiúrype?,você_veio_?
pá,aiur
eẽ,aiur
auié,tudo_bem
tiasóebapó,vamos_lá
ereikobépe?,você_está_bem_?
ndekatúpe?,você_está_bem_?
marãpeereikó?,como_você_está_bem_?
mamõsuípeereiur?,de_onde_você_veio_?
mamõpeeresóne?,pra_onde_você_vai_?
mbaepeikó?,o_que_é_isto_?
abápeae?,quem_é_ele_?
abápeendé?,quem_é_você_?
marãpenderera?,como_é_teu_nome_?
mbobyroýpeererekó?,quantos_anos_você_tem_?
eẽ,aikobé
xekatueté,estou_muito_feliz
xeroryb,estou_muito_feliz
endépe?,e_você_?
oi,oi
aikokatu,estou_bem
xekatu,estou_bem
aiurxeretamasui,vim_da_minha_terra
asóxekópene,vou_ao_meu_roçado
ikóamõmbae,isto_é_alguma_coisa
aexeirũ,ele_é_meu_colega
ixéparaibyguara,sou_paraibano
xerera,meu_nome_é
naikokatúixekatúi,não_estou_bem
naikokatúinaxekatúi,não_estou_bem
naikokatúi/naxekatúi,não_estou_bem
naxerorýbi,não_estou_feliz
naxerorybetéi,não_estou_muito_feliz
xearuru,estou_triste
xearurueté,estou_muito_triste
xekatupyryb,mais_ou_menos
aã,não
aani,nunca
ndeangaturamaresé,por_gentileza
nderemimotararupi,com_licença
ndenhyrõxébe,desculpe_me
aimoasy,lamento
aikuguab,obrigado
nambaeruãresé,de_nada
auié,okay
certo,okay
auiebeté,muito_bem
auiekatutenhẽ,excelente
tó,xeputupab
tóxeputupab,nossa_estou_impressionado
mã,que_pena
mã,infelizmente
tiporemonã,amém
tiporemonã,que_seja_assim
iamuru,bem_feito_pra_ele
tupãxepysyrõ,deus_me_livre
tupãaipópotáreme,se_deus_quiser
tupãresé,graças_a_deus
emonãtemõmã,quem_dera_fosse_assim
tiakau,vamos_beber_cauim
taté,cuidado
nderesaetá,cuidado
oroausub,eu_te_amo
opoausub,eu_amo_vocês
neĩ,neĩ
neĩ,neĩ
aiurikó,eu_volto_aqui
tiaioepiakoirandé,a_gente_se_vê_amanhã
tereiur,que_voltes
tereiurumẽ,que_você_não_volte_mais
asóikó,adeus
eikobé,passe_bem
epytátupãirũnamo,fique_com_deus
auié,certo
ereikokatueté,você_agiu_muito_bem
katueté,bom_demais
katueté,muito_bem
xeputupab,estou_impressionado
ndeberabeté,brilhante
oromoeté,eu_te_parabenizo
tasorybroypysasu,feliz_ano_novo
tasorybnderoymoauié,feliz_aniversário
eiké,entre
peiké,entrem
aikoiké!,estou_aqui
aikoiké,estou_aqui
aikoiké!,presente
aikoiké,presente
nouri,não_veio
opor,faltou
noikoiiké,não_está_aqui
oimopanemmboesaba,faltou_a_aula
eiapónderembiapó,faça_tua_atividade
mbapenderoy?,qual_teu_série_?
tiatupãmongetá,vamos_orar
tiatupãmongetá,vamos_com_deu_conversar
tiasópekuatiarókype?,vamos_à_biblioteca_?
tiasópeokárype?,vamos_para_o_pátio_?
tiasópematemáticakoty,vamos_à_sala_de_matemática_?
ndeapysýkypeliteraturaresé?,você_gosta_de_literatura_?
ndeapysykýpematemáticaresé?,você_gosta_de_matemática_?
tiakaru,vamos_comer
tiakaruumẽ,não_vamos_coma
abápeendé,quem_é_você_?
abápeikóabá,quem_é_esta_pessoa_?
abápeae,quem_é_ele_?
mbaepeereimonhang,o_que_você_está_fazendo_?
mbaepeereiapó,o_que_você_está_preparando_?
umãpenderemiausuba,cadê_teu_amado_?
mamõpeaeoikó,onde_ele_está_?
marãpe,como_?_de_que_modo_?
marãpe,como_?
marãpe,de_que_modo_?
marãnemepe,quando_?_em_quais_ocasiões_?
marãnemepe,quando_?
marãnemepe,em_quais_ocasiões_?
marãnamope,por_que_?
mbaeresépe,por_que_razão_?
abambaepeikó,de_quem_é_isto_?
abasupépeiko,para_quem_é_isso_?
abásuípeikó,de_quem_foi_isso_?
ndembaepe,é_teu_isso_?
eẽkoipóaã,sim_ou_não?
mbaepesepy,qual_é_o_preço_dele_?
ixénderausupara,sou_teu_amigo
aexeirũ,aquele_é_meu_colega
aexereminguaba,ele_é_meu_conhecido
aimonhangnambaeruã,estou_fazendo_nada
aiapóxerembiapó,estou_preparando_minha_atividade
aeoporabykyoikóbo,ele_está_trabalhando
aeoikóotápe,ele_está_em_sua_aldeia
aeokeroikóbo,ele_está_dormindo
aeokeropákarúkeme,ele_dorme_todas_as_tarde
oopesyikatureme,porque_ele_temmuito_sono
oporabykysápe,por_causa_do_seu_próprio_trabalho
kómbaexembae,esta_coisa_é_minha
kómbaendembaerama,esta_coisa_será_tua
kómbaexembaepuera,esta_coisa_foi_minha
eẽ,ndembaeé
eẽnhẽ,sim_realmente
imokonhõĩ,é_pouquinho
koema,manhã
koema,dia
karuka,tarde
pytuna,noite
katu,bem
pá,sim
eẽ,sim
xe,eu
endé,tu
ae,ele
mbobýpe?,quantos_?
mbobýpe?,quantas_?
amõ,algum
amõabá,alguém
mbae,coisa
mbae,algo
ixé,eu
roy,ano
nhyrõ,perdoar
xébe,a_mim
xebe,a_mim
xebe,para_mim
nambaeruã,nada
tó,oh
tó,ah
tó,nossa
putupab,impressionado
muru,maldito
murukuiá,maracujá
pysyrõ,livrar
pysyrõ,salvar
aipó,esse
temõ,quem_dera
oirandé,amanhã
irũnamo,companheiro
irũ,companheiro
abápe,quem_?
abá,alguém
ae,porém
umãpe,onde_?
umãpe,cadê_?
mamõpe,onde_?
mamõpe,aonde_?
mamõpe,de_onde_?
mbae,coisa
mbae,algo
mbae,riqueza
abambaepe,de_quem_?
abasupépe,para_quem_?
abásuípe,de_quem_?
mbaepe,quê_?
mbaepe,que_coisa_?
mbaepe,qual_?
obá,rosto
obá,cara
kó,este
kó,estes
kó,esta
kó,estas
apixab,ferir
guarinĩ,guerreiro
puká,rir
aseiar,abandonar
eiar,abandonar
aimongatu,abençoar
mongatu,abençoar
aimongaraíb,abençoar
mongaraíb,abençoar
aiaiuban,abraçar
aiuban,abraçar
aimondyk,acender
mondyk,acender
aguasem,achar
guasem,achar
apak,acordar
pak,acordar
arobiar,acreditar
robiar,acreditar
erobiar,acreditar
erobiara,acreditar
xerasy,adoecer
asy,adoecer
aimoeté,adorar
moeté,adorar
aikuab,agradecer
kuab,agradecer
aipytybõ,ajudar
pytybõ,ajudar
aimooryb,alegrar
mooryb,alegrar
aiopoi,alimentar
poi,alimentar
poia,alimentar
asausub,amar
ausub,amar
aiapytĩ,amarrar
apytĩ,amarrar
aimondok,arrancar
mondok,arrancar
aiook,arrancar
ok,arrancar
oka,arrancar
aimongaturõ,arrumar
mongaturõ,arrumar
aipeiu,assoprar
peiu,assoprar
aimosykyié,assustar
mosykyié,assustar
apuam,atacar
puam,atacar
asepenhan,atacar
epenhan,atacar
aiapytĩ,atar
apytĩ,atar
aiityk,atirar
ityk,atirar
asasab,atravessar
asab,atravessar
aiirumõ,aumentar
irumõ,aumentar
aipetek,bater
petek,bater
apuar,bater
puar,bater
aiepokok,bater
iepokok,bater
aserok,batizar
erok,batizar
ayu,beber
u,beber
yu,beber
aipyter,beijar
pyter,beijar
aberab,brilhar
berab,brilhar
anhemosarai,brincar
nhemosarai,brincar
asekar,buscar
ekar,buscar
aar,cair
ar,cair
anhemokyrirĩ,calar
nhemokyrirĩ,calar
anheengar,cantar
nheengar,cantar
aipysyk,capturar
pysyk,capturar
amendar,casar
mendar,casar
ainupã,castigar
nupã,castigar
asenõi,chamar
enõi,chamar
aguasem,chegar
guasem,chegar
aiaseo,chorar
iaseo,chorar
amanaokyr,chover
kyr,chover
aipyter,chupar
pyter,chupar
aiasoi,cobrir
asoi,cobrir
aseỹi,coçar
eỹi,coçar
aieypyrung,começar
ieypyrung,começar
aipyrung,começar
pyrung,começar
au,comer
u,comer
akaru,comer
karu,comer
asausubar,compadecer
ausubar,compadecer
aimoiaok,compartilhar
moiaok,compartilhar
aiporepyan,comprar
porepyan,comprar
